br-a103-prn1$Lexmark XM7155+10.36.66.17
br-a120-prn1$Lexmark XM7155+10.36.66.18
br-a205-prn1$Lexmark X954+10.36.66.14
br-a205-prn2$Lexmark X864de+10.36.66.15
br-a206-prn1$Lexmark XM7155+10.36.66.19
br-a208-prn1$Lexmark XM9155+10.36.66.13
br-b212e-prn4$Lexmark XC4140+10.32.67.35 
br-a301-prn1$Lexmark XM9155+10.36.66.12
br-a317-prn1$Lexmark XM9155+10.36.66.11
br-b104-prn1$Lexmark X954+10.32.65.14
ET0021B70E6123$Lexmark X864de+10.32.65.15
br-b111-prn1$Lexmark X864de+10.32.65.18
br-b114-prn2$Lexmark X864de+10.32.65.13
ET0021B73C23AA$Lexmark X864de+10.32.65.165
br-b126-prn1$Lexmark XM7155+10.32.65.150
br-b127-prn1$Lexmark X864de+10.32.65.162
br-b132-prn6"$Lexmark XM7155+10.32.66.16
br-b145-prn1$Lexmark XM7155+10.32.66.16
BR-B148-prn1$Lexmark X864de+10.32.66.17
ET0021B70E1686$Lexmark X954+10.32.66.15
br-b195-prn1$Lexmark X864de+10.32.65.144
ET0021B7767DC1$Lexmark XM7155+10.32.69.11
ET0021B7ABC4DE$Lexmark M5155+10.32.69.32 
ET0021B7A6826A$Lexmark X864de+10.32.67.31
br-b207-prn3$Lexmark X954+10.32.67.13
ET0021B70E3657$Lexmark X954+10.32.67.30
br-b212d-prn1$Lexmark X864de+10.32.67.21
br-b212e-prn2$Lexmark X864de+10.32.67.33
br-b212h-prn1$Lexmark X864de+10.32.67.24
br-b213-prn2$Lexmark XM7155+10.32.68.13
br-b216-prn1$Lexmark XM7155+10.32.67.151
ET0021B70E212D$Lexmark X864de+10.32.68.23
br-b218-prn2$Lexmark X864de+10.32.69.170
ET0021B70E21C9$Lexmark X864de+10.32.68.18
br-b230b-prn1$Lexmark XM7155+10.32.69.31
br-b203g-prn1$Lexmark X864de+10.32.69.13
br-b237-prn1$Lexmark MX410de+10.32.71.11
br-b294-prn4$Lexmark X864de+10.32.67.147
br-b294-prn5$Lexmark X864de+10.32.67.149
br-b295-prn2$Lexmark X864de+10.32.67.144
br-b296-prn2$Lexmark X864de+10.32.67.141
br-b294-prn7$Lexmark CS510de+10.32.67.152 
br-b302-prn3$Lexmark X864de+10.32.69.154
ET0021B78CFFC6$Lexmark C734+10.32.69.141 
br-b305-prn3$Lexmark X864de+10.32.69.146
br-b305-prn5$Lexmark XM7155+10.32.69.153
br-b307-prn2$Lexmark XM7155+10.32.70.15
br-b303-prn1$Lexmark XM7155+10.32.69.152
br-h109-prn2$Lexmark XM7155+10.36.64.16
br-c102-prn1$Lexmark XM7155+10.32.74.14
ET0021B7A64210$Lexmark X864de+10.32.70.145
br-c138-prn2$Lexmark X864de+10.32.70.146
br-c172-prn1$Lexmark XM7155+10.32.74.13
br-c210-prn2$Lexmark X864de+10.32.71.145
br-c210-prn3$Lexmark XM7155+10.32.74.135
br-c238-prn2$Lexmark X864de+10.32.71.148
br-c264-prn1$Lexmark X792+10.32.74.130
br-c264-prn2$Lexmark X864de+10.32.74.134
br-c268-prn1$Lexmark XM7155+10.32.74.136
br-c274-prn1$Lexmark X864de+10.32.74.133
br-c300-prn1$Lexmark XM7155+10.32.75.13
br-c318-prn1$Lexmark XM7155+10.32.75.14
br-h109-prn2$Lexmark XM7155+10.35.64.16
oa-c145-prn5$Lexmark XM7155+10.35.64.14
br-h150-prn2$Lexmark XM7155+10.35.64.18
br-h150-prn2$Lexmark X864de+10.35.64.19
ET0021B7799631$Lexmark CS510de+10.35.64.27 
br-h153-prn1$Lexmark XM3150+10.35.64.21
br-h200-prn1$Lexmark XM7155+10.35.64.151
ET0021B7CE43BA$Lexmark XM3150+10.35.64.147
br-h242-prn2$Lexmark X864de+10.35.64.150
br-h300-prn1$Lexmark X864de+10.35.65.15
br-h310-prn2$Lexmark XM7155+10.35.65.13
br-h318-prn2$Lexmark XM7155+10.35.65.18
br-320b-prn2$Lexmark M5155+10.35.65.19
br-h320b-prn1$Lexmark X864de+10.35.65.17
br-j100-prn1$Lexmark X864de+10.36.64.22
br-j104-prn1$Lexmark X864de+10.36.64.26
br-j124-prn6$Lexmark X864de+10.36.64.23
ET0021B769D1FF$Lexmark XM7155+10.36.64.24
br-j212-prn2$Lexmark XM7155+10.36.64.150
br-j214-prn4$Lexmark X864de+10.36.64.149
br-j214-prn5$Lexmark X864de+10.36.64.151
br-j314-prn4$Lexmark XM7155+10.36.65.21
br-m25-prn1$Lexmark XM7155+10.32.73.21
br-m4-prn2$Lexmark XM7155+10.32.73.22
br-H137-prn3$Lexmark XM7155
br-sc210-prn1$Lexmark X954+10.32.73.139

